ts,symbol,open,high,low,close,volume
2026-01-08T12:32:00+00:00,MGC,4430.3,4432.2,4429.6,4431.5,452.0
2026-01-08T12:33:00+00:00,MGC,4431.7,4434.2,4431.5,4432.6,548.0
2026-01-08T12:34:00+00:00,MGC,4432.5,4432.6,4430.9,4431.7,334.0
2026-01-08T12:35:00+00:00,MGC,4431.5,4431.5,4430.0,4430.1,374.0
2026-01-08T12:36:00+00:00,MGC,4430.2,4432.7,4429.5,4432.7,357.0
2026-01-08T12:37:00+00:00,MGC,4432.8,4434.0,4432.2,4433.8,352.0
2026-01-08T12:38:00+00:00,MGC,4433.6,4434.4,4432.7,4434.4,253.0
2026-01-08T12:39:00+00:00,MGC,4434.3,4436.4,4434.1,4435.7,463.0
2026-01-08T12:40:00+00:00,MGC,4435.5,4435.7,4434.5,4435.2,246.0
2026-01-08T12:41:00+00:00,MGC,4435.5,4437.8,4435.5,4437.7,450.0
2026-01-08T12:42:00+00:00,MGC,4437.6,4438.3,4436.9,4438.0,272.0
2026-01-08T12:43:00+00:00,MGC,4437.9,4438.6,4437.2,4438.4,272.0
2026-01-08T12:44:00+00:00,MGC,4438.4,4439.1,4436.0,4436.6,489.0
2026-01-08T12:45:00+00:00,MGC,4436.8,4437.6,4435.3,4435.4,419.0
2026-01-08T12:46:00+00:00,MGC,4435.4,4436.5,4434.3,4435.0,341.0
2026-01-08T12:47:00+00:00,MGC,4435.1,4437.1,4434.8,4436.8,220.0
2026-01-08T12:48:00+00:00,MGC,4436.8,4438.0,4436.6,4437.0,235.0
2026-01-08T12:49:00+00:00,MGC,4437.1,4438.1,4436.0,4436.2,258.0
2026-01-08T12:50:00+00:00,MGC,4436.0,4436.3,4434.6,4435.2,285.0
2026-01-08T12:51:00+00:00,MGC,4435.1,4438.0,4435.1,4436.9,214.0
2026-01-08T12:52:00+00:00,MGC,4436.8,4437.3,4436.2,4436.7,141.0
2026-01-08T12:53:00+00:00,MGC,4436.5,4437.6,4436.0,4436.5,148.0
2026-01-08T12:54:00+00:00,MGC,4436.4,4436.8,4433.8,4435.0,265.0
2026-01-08T12:55:00+00:00,MGC,4434.9,4436.5,4434.1,4435.8,229.0
2026-01-08T12:56:00+00:00,MGC,4435.8,4436.0,4435.1,4435.6,124.0
2026-01-08T12:57:00+00:00,MGC,4435.6,4436.4,4435.4,4435.6,89.0
2026-01-08T12:58:00+00:00,MGC,4435.7,4436.1,4434.5,4435.2,180.0
2026-01-08T12:59:00+00:00,MGC,4435.2,4435.3,4433.6,4435.2,224.0
2026-01-08T13:00:00+00:00,MGC,4435.3,4437.4,4434.1,4435.1,801.0
2026-01-08T13:01:00+00:00,MGC,4435.3,4435.6,4432.8,4433.2,508.0
2026-01-08T13:02:00+00:00,MGC,4433.3,4434.3,4432.0,4433.7,474.0
2026-01-08T13:03:00+00:00,MGC,4433.5,4434.6,4432.5,4434.0,327.0
2026-01-08T13:04:00+00:00,MGC,4434.0,4434.9,4430.9,4431.2,335.0
2026-01-08T13:05:00+00:00,MGC,4431.4,4431.7,4427.6,4429.1,961.0
2026-01-08T13:06:00+00:00,MGC,4428.9,4428.9,4425.4,4428.8,969.0
2026-01-08T13:07:00+00:00,MGC,4428.5,4428.8,4426.2,4427.4,580.0
2026-01-08T13:08:00+00:00,MGC,4427.3,4429.2,4426.7,4428.5,520.0
2026-01-08T13:09:00+00:00,MGC,4428.4,4429.1,4426.1,4426.5,479.0
2026-01-08T13:10:00+00:00,MGC,4426.5,4427.7,4425.0,4426.6,705.0
2026-01-08T13:11:00+00:00,MGC,4426.6,4429.1,4426.1,4427.7,663.0
2026-01-08T13:12:00+00:00,MGC,4427.6,4429.0,4425.9,4427.6,476.0
2026-01-08T13:13:00+00:00,MGC,4427.7,4428.7,4425.7,4427.3,299.0
2026-01-08T13:14:00+00:00,MGC,4427.3,4429.1,4426.2,4428.5,420.0
2026-01-08T13:15:00+00:00,MGC,4428.5,4431.2,4428.4,4430.7,707.0
2026-01-08T13:16:00+00:00,MGC,4430.5,4432.3,4429.2,4430.4,555.0
2026-01-08T13:17:00+00:00,MGC,4430.2,4433.0,4430.1,4432.4,336.0
2026-01-08T13:18:00+00:00,MGC,4432.6,4434.2,4432.1,4434.2,337.0
2026-01-08T13:19:00+00:00,MGC,4434.3,4435.8,4433.7,4433.8,619.0
2026-01-08T13:20:00+00:00,MGC,4433.9,4437.7,4433.8,4437.3,689.0
2026-01-08T13:21:00+00:00,MGC,4437.3,4438.6,4436.5,4438.0,471.0
2026-01-08T13:22:00+00:00,MGC,4438.1,4441.1,4437.3,4440.6,971.0
2026-01-08T13:23:00+00:00,MGC,4440.5,4441.2,4438.5,4440.1,703.0
2026-01-08T13:24:00+00:00,MGC,4439.9,4441.1,4438.8,4440.3,372.0
2026-01-08T13:25:00+00:00,MGC,4440.2,4444.5,4440.2,4443.0,1315.0
2026-01-08T13:26:00+00:00,MGC,4442.8,4444.0,4439.1,4441.2,761.0
2026-01-08T13:27:00+00:00,MGC,4441.2,4441.3,4439.1,4439.6,275.0
2026-01-08T13:28:00+00:00,MGC,4439.7,4441.0,4439.4,4440.0,319.0
2026-01-08T13:29:00+00:00,MGC,4440.0,4442.8,4439.6,4442.0,255.0
2026-01-08T13:30:00+00:00,MGC,4442.8,4443.0,4435.8,4437.7,872.0
2026-01-08T13:31:00+00:00,MGC,4437.8,4438.3,4435.5,4435.9,460.0
2026-01-08T13:32:00+00:00,MGC,4436.0,4438.4,4435.2,4437.6,495.0
2026-01-08T13:33:00+00:00,MGC,4437.5,4437.5,4434.4,4435.6,471.0
2026-01-08T13:34:00+00:00,MGC,4435.4,4436.7,4434.5,4435.7,480.0
2026-01-08T13:35:00+00:00,MGC,4435.7,4439.2,4435.5,4438.6,525.0
2026-01-08T13:36:00+00:00,MGC,4438.6,4439.9,4438.1,4438.4,420.0
2026-01-08T13:37:00+00:00,MGC,4438.3,4439.2,4436.4,4438.2,308.0
2026-01-08T13:38:00+00:00,MGC,4438.2,4440.8,4438.2,4439.7,440.0
2026-01-08T13:39:00+00:00,MGC,4440.0,4440.0,4437.0,4437.5,371.0
2026-01-08T13:40:00+00:00,MGC,4437.5,4437.9,4434.7,4435.1,499.0
2026-01-08T13:41:00+00:00,MGC,4435.1,4439.3,4434.4,4439.2,520.0
2026-01-08T13:42:00+00:00,MGC,4439.3,4441.7,4439.0,4441.1,559.0
2026-01-08T13:43:00+00:00,MGC,4440.9,4443.8,4440.8,4443.8,607.0
2026-01-08T13:44:00+00:00,MGC,4443.8,4444.4,4441.8,4441.9,660.0
2026-01-08T13:45:00+00:00,MGC,4442.0,4442.7,4440.4,4441.1,423.0
2026-01-08T13:46:00+00:00,MGC,4440.9,4442.3,4439.2,4440.2,515.0
2026-01-08T13:47:00+00:00,MGC,4440.5,4440.7,4438.6,4439.8,292.0
2026-01-08T13:48:00+00:00,MGC,4439.9,4442.0,4439.6,4440.8,231.0
2026-01-08T13:49:00+00:00,MGC,4441.0,4441.5,4437.8,4437.8,378.0
2026-01-08T13:50:00+00:00,MGC,4437.9,4439.1,4437.1,4437.1,367.0
2026-01-08T13:51:00+00:00,MGC,4437.0,4438.9,4436.6,4437.7,290.0
